"subject","label","penn_element_name","parameter","value","rt","type","trial_n","reading_time","itemnum"
"S[2]","practice_rest","DashedSentence","5","a","2938","practice","5","404","504"
"S[2]","practice_rest","DashedSentence","6","big","2938","practice","5","409","504"
"S[2]","practice_rest","DashedSentence","7","kitchen","2938","practice","5","402","504"
"S[2]","practice_rest","DashedSentence","8","and","2938","practice","5","401","504"
"S[2]","practice_rest","DashedSentence","9","a","2938","practice","5","384","504"
"S[2]","practice_rest","DashedSentence","10","bathrom%2C","2938","practice","5","410","504"
"S[2]","practice_rest","DashedSentence","11","which","2938","practice","5","418","504"
"S[2]","practice_rest","DashedSentence","12","by","2938","practice","5","373","504"
"S[2]","practice_rest","DashedSentence","13","the","2938","practice","5","365","504"
"S[2]","practice_rest","DashedSentence","14","way","2938","practice","5","367","504"
"S[2]","practice_rest","DashedSentence","15","would","2938","practice","5","370","504"
"S[2]","practice_rest","DashedSentence","16","help","2938","practice","5","363","504"
"S[2]","practice_rest","DashedSentence","17","with","2938","practice","5","365","504"
"S[2]","practice_rest","DashedSentence","18","our","2938","practice","5","358","504"
"S[2]","practice_rest","DashedSentence","19","big","2938","practice","5","330","504"
"S[2]","practice_rest","DashedSentence","20","family%2C","2938","practice","5","314","504"
"S[2]","practice_rest","DashedSentence","21","we","2938","practice","5","355","504"
"S[2]","practice_rest","DashedSentence","22","would","2938","practice","5","404","504"
"S[2]","practice_rest","DashedSentence","23","definitely","2938","practice","5","365","504"
"S[2]","practice_rest","DashedSentence","24","buy","2938","practice","5","346","504"
"S[2]","practice_rest","DashedSentence","25","it.","2938","practice","5","452","504"
"S[2]","practice_rest","grade","Choice","1","2938","practice","5","NULL","504"
"S[2]","practice_rest","DashedSentence","1","This","4026","practice","6","441","503"
"S[2]","practice_rest","DashedSentence","2","desk%2C","4026","practice","6","476","503"
"S[2]","practice_rest","DashedSentence","3","which","4026","practice","6","503","503"
"S[2]","practice_rest","DashedSentence","4","used","4026","practice","6","419","503"
"S[2]","practice_rest","DashedSentence","5","to","4026","practice","6","427","503"
"S[2]","practice_rest","DashedSentence","6","belong","4026","practice","6","423","503"
"S[2]","practice_rest","DashedSentence","7","to","4026","practice","6","388","503"
"S[2]","practice_rest","DashedSentence","8","Sandra%2C","4026","practice","6","469","503"
"S[2]","practice_rest","DashedSentence","9","and","4026","practice","6","491","503"
"S[2]","practice_rest","DashedSentence","10","that","4026","practice","6","419","503"
"S[2]","practice_rest","DashedSentence","11","other","4026","practice","6","425","503"
"S[2]","practice_rest","DashedSentence","12","desk","4026","practice","6","460","503"
"S[2]","practice_rest","DashedSentence","13","over","4026","practice","6","417","503"
"S[2]","practice_rest","DashedSentence","14","there","4026","practice","6","407","503"
"S[2]","practice_rest","DashedSentence","15","which","4026","practice","6","503","503"
"S[2]","practice_rest","DashedSentence","16","is","4026","practice","6","403","503"
"S[2]","practice_rest","DashedSentence","17","her","4026","practice","6","342","503"
"S[2]","practice_rest","DashedSentence","18","brother","4026","practice","6","334","503"
"S[2]","practice_rest","DashedSentence","19","Nick's","4026","practice","6","511","503"
"S[2]","practice_rest","DashedSentence","20","are","4026","practice","6","385","503"
"S[2]","practice_rest","DashedSentence","21","black.","4026","practice","6","869","503"
"S[2]","practice_rest","grade","Choice","4","4026","practice","6","NULL","503"
"S[2]","practice_rest","DashedSentence","1","Sherry","1786","practice","7","472","506"
"S[2]","practice_rest","DashedSentence","2","yet","1786","practice","7","459","506"
"S[2]","practice_rest","DashedSentence","3","to","1786","practice","7","390","506"
"S[2]","practice_rest","DashedSentence","4","buy","1786","practice","7","400","506"
"S[2]","practice_rest","DashedSentence","5","a","1786","practice","7","393","506"
"S[2]","practice_rest","DashedSentence","6","car","1786","practice","7","391","506"
"S[2]","practice_rest","DashedSentence","7","still%2C","1786","practice","7","428","506"
"S[2]","practice_rest","DashedSentence","8","for","1786","practice","7","393","506"
"S[2]","practice_rest","DashedSentence","9","her","1786","practice","7","372","506"
"S[2]","practice_rest","DashedSentence","10","wife","1786","practice","7","372","506"
"S[2]","practice_rest","DashedSentence","11","stopped","1786","practice","7","367","506"
"S[2]","practice_rest","DashedSentence","12","working","1786","practice","7","370","506"
"S[2]","practice_rest","DashedSentence","13","after","1786","practice","7","347","506"
"S[2]","practice_rest","DashedSentence","14","having","1786","practice","7","332","506"
"S[2]","practice_rest","DashedSentence","15","a","1786","practice","7","328","506"
"S[2]","practice_rest","DashedSentence","16","huge","1786","practice","7","394","506"
"S[2]","practice_rest","DashedSentence","17","fight","1786","practice","7","336","506"
"S[2]","practice_rest","DashedSentence","18","with","1786","practice","7","323","506"
"S[2]","practice_rest","DashedSentence","19","her","1786","practice","7","382","506"
"S[2]","practice_rest","DashedSentence","20","boss.","1786","practice","7","435","506"
"S[2]","practice_rest","grade","Choice","1","1786","practice","7","NULL","506"
"S[2]","practice_rest","DashedSentence","1","Joanna","2012","practice","8","551","508"
"S[2]","practice_rest","DashedSentence","2","is","2012","practice","8","488","508"
"S[2]","practice_rest","DashedSentence","3","very","2012","practice","8","467","508"
"S[2]","practice_rest","DashedSentence","4","tall%2C","2012","practice","8","612","508"
"S[2]","practice_rest","DashedSentence","5","much","2012","practice","8","526","508"
"S[2]","practice_rest","DashedSentence","6","taller","2012","practice","8","445","508"
"S[2]","practice_rest","DashedSentence","7","than","2012","practice","8","433","508"
"S[2]","practice_rest","DashedSentence","8","most","2012","practice","8","479","508"
"S[2]","practice_rest","DashedSentence","9","people","2012","practice","8","488","508"
"S[2]","practice_rest","DashedSentence","10","I","2012","practice","8","686","508"
"S[2]","practice_rest","DashedSentence","11","know%2C","2012","practice","8","551","508"
"S[2]","practice_rest","DashedSentence","12","doesn't","2012","practice","8","566","508"
"S[2]","practice_rest","DashedSentence","13","she?","2012","practice","8","803","508"
"S[2]","practice_rest","grade","Choice","1","2012","practice","8","NULL","508"
"S[2]","practice_rest","DashedSentence","1","Batman","1758","practice","9","508","507"
"S[2]","practice_rest","DashedSentence","2","came","1758","practice","9","486","507"
"S[2]","practice_rest","DashedSentence","3","my","1758","practice","9","1351","507"
"S[2]","practice_rest","DashedSentence","4","house","1758","practice","9","567","507"
"S[2]","practice_rest","DashedSentence","5","today%2C","1758","practice","9","506","507"
"S[2]","practice_rest","DashedSentence","6","bringing","1758","practice","9","425","507"
"S[2]","practice_rest","DashedSentence","7","a","1758","practice","9","399","507"
"S[2]","practice_rest","DashedSentence","8","big","1758","practice","9","384","507"
"S[2]","practice_rest","DashedSentence","9","smile","1758","practice","9","427","507"
"S[2]","practice_rest","DashedSentence","10","and","1758","practice","9","381","507"
"S[2]","practice_rest","DashedSentence","11","a","1758","practice","9","437","507"
"S[2]","practice_rest","DashedSentence","12","gift","1758","practice","9","453","507"
"S[2]","practice_rest","DashedSentence","13","me.","1758","practice","9","696","507"
"S[2]","practice_rest","grade","Choice","1","1758","practice","9","NULL","507"
"S[3]","practice_first","DashedSentence","14","this.","2105","practice","1","849","500"
"S[3]","practice_first","DashedSentence","13","like","2105","practice","1","405","500"
"S[3]","practice_first","DashedSentence","12","presented","2105","practice","1","376","500"
"S[3]","practice_first","DashedSentence","11","be","2105","practice","1","416","500"
"S[3]","practice_first","DashedSentence","10","will","2105","practice","1","568","500"
"S[3]","practice_first","DashedSentence","9","way%2C","2105","practice","1","425","500"
"S[3]","practice_first","DashedSentence","8","the","2105","practice","1","323","500"
"S[3]","practice_first","DashedSentence","7","by","2105","practice","1","376","500"
"S[3]","practice_first","DashedSentence","6","read","2105","practice","1","362","500"
"S[3]","practice_first","DashedSentence","5","to","2105","practice","1","337","500"
"S[3]","practice_first","DashedSentence","4","have","2105","practice","1","420","500"
"S[3]","practice_first","DashedSentence","3","you","2105","practice","1","539","500"
"S[3]","practice_first","DashedSentence","2","which","2105","practice","1","461","500"
"S[3]","practice_first","DashedSentence","1","Sentence%2C","2105","practice","1","458","500"
"S[3]","practice_first","grade","Choice","5","2105","practice","1","NULL","500"
"S[3]","practice_first","DashedSentence","20","","1719","practice","2","1904","501"
"S[3]","practice_first","DashedSentence","19","you.","1719","practice","2","323","501"
"S[3]","practice_first","DashedSentence","18","help","1719","practice","2","350","501"
"S[3]","practice_first","DashedSentence","17","to","1719","practice","2","319","501"
"S[3]","practice_first","DashedSentence","16","stuff","1719","practice","2","374","501"
"S[3]","practice_first","DashedSentence","15","some","1719","practice","2","511","501"
"S[3]","practice_first","DashedSentence","14","have","1719","practice","2","682","501"
"S[3]","practice_first","DashedSentence","13","will","1719","practice","2","529","501"
"S[3]","practice_first","DashedSentence","12","easier%2C","1719","practice","2","488","501"
"S[3]","practice_first","DashedSentence","11","be","1719","practice","2","392","501"
"S[3]","practice_first","DashedSentence","10","hopefully","1719","practice","2","459","501"
"S[3]","practice_first","DashedSentence","9","which","1719","practice","2","340","501"
"S[3]","practice_first","DashedSentence","8","some%2C","1719","practice","2","336","501"
"S[3]","practice_first","DashedSentence","7","But","1719","practice","2","371","501"
"S[3]","practice_first","DashedSentence","6","read.","1719","practice","2","333","501"
"S[3]","practice_first","DashedSentence","5","to","1719","practice","2","295","501"
