id,sentence,Group,type,condition,comma,v2,person,np1_animacy,np2_animacy,np3_animacy,np1_#,np2_#,np3_#,v1_type,v2_type,v3_type,c1_type,c2_type,v1_tense,v2_tense,v3_tense
13,"The treehouse which the father, who the mother married had painted, was rebuilt.",B,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
13,The treehouse which the father who the mother married was rebuilt.,C,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
13,"The treehouse which the father, who the mother married, was rebuilt.",D,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
14,The campfire which the scout who the lieutenant dispatched built roared brightly.,B,exp,Base,0,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
14,"The campfire which the scout, who the lieutenant dispatched built, roared brightly.",C,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
14,The campfire which the scout who the lieutenant dispatched built brightly.,D,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
14,"The campfire which the scout, who the lieutenant dispatched built, brightly.",A,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
15,The birdfeeder which the gardener who the groundskeeper had hired had put up fell down,C,exp,Base,0,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past perfect,past perfect,past
15,"The birdfeeder which the gardener, who the groundskeeper had hired, had put up fell down",D,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past perfect,past perfect,past
15,The birdfeeder which the gardener who the groundskeeper had hired fell down,A,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past perfect,past perfect,past
15,"The birdfeeder which the gardener, who the groundskeeper had hired, fell down",B,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past perfect,past perfect,past
16,The evidence which the attorney who the defendant had hired had collected thoughtfully was considered by the judge.,D,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
16,"The evidence which the attorney, who the defendant had hired, had collected thoughtfully was considered by the judge.",A,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
16,The evidence which the attorney who the defendant had hired was considered by the judge.,B,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
16,"The evidence which the attorney, who the defendant had hired, was considered by the judge.",C,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
17,The coffee which the Uber driver who the tourists from Canada had called had bought in the morning spilled on the seat accidentally.,A,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past_passive
17,"The coffee which the Uber driver, who the tourists from Canada had called, had bought in the morning spilled on the seat accidentally.",B,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past_passive
17,The coffee which the Uber driver who the tourists from Canada had called spilled on the seat accidentally.,C,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past_passive
17,"The coffee which the Uber driver, who the tourists from Canada had called, spilled on the seat accidentally.",D,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past_passive
18,The restaurant which the helpful plumber who the neighbor had encountered had recommended shut down due to insufficient supply.,B,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past
18,"The restaurant which the helpful plumber, who the neighbor had encountered, had recommended shut down due to insufficient supply.",C,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past
18,The restaurant which the helpful plumber who the neighbor had encountered shut down due to insufficient supply.,D,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past
18,"The restaurant which the helpful plumber, who the neighbor had encountered, shut down due to insufficient supply.",A,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past
19,The starship which the pretentious politician who the businessman had publicly endorsed had bought was unable to take off.,C,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
19,"The starship which the pretentious politician, who the businessman had publicly endorsed, had bought was unable to take off.",D,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
19,The starship which the pretentious politician who the businessman had publicly endorsed was unable to take off.,A,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
19,"The starship which the pretentious politician, who the businessman had publicly endorsed, was unable to take off.",B,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
20,The dream which the carpenter who the Human Resources department had fired had had for years was finally realized.,D,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
20,"The dream which the carpenter, who the Human Resources department had fired, had had for years was finally realized.",A,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
20,The dream which the carpenter who the Human Resources department had fired was finally realized.,B,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
20,"The dream which the carpenter, who the Human Resources department had fired, was finally realized.",C,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
21,The trace which the big python which the Wildlife Service had been tracking had left in the forest was covered by maple leaves.,A,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,which,past perfect,past imperfect,past_passive
21,"The trace which the big python, which the Wildlife Service had been tracking, had left in the forest was covered by maple leaves.",B,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,which,past perfect,past imperfect,past_passive
21,The trace which the big python which the Wildlife Service had been tracking was covered by maple leaves.,C,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,which,past perfect,past imperfect,past_passive
21,"The trace which the big python, which the Wildlife Service had been tracking, was covered by maple leaves.",D,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,which,past perfect,past imperfect,past_passive
22,The basil which the head chef who the party host had invited had grown carefully turned out to be very fragrant.,B,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
22,"The basil which the head chef, who the party host had invited, had grown carefully turned out to be very fragrant.",C,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
22,The basil which the head chef who the party host had invited turned out to be very fragrant.,D,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
22,"The basil which the head chef, who the party host had invited, turned out to be very fragrant.",A,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
23,The vase which the criminal who the man sued in court had stolen from the museum was returned.,C,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
23,"The vase, which the criminal who the man sued in court had stolen from the museum, was returned.",D,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
23,The vase which the criminal who the man sued in court was returned.,A,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
23,"The vase, which the criminal who the man sued in court, was returned.",B,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
24,The meal which the chef who the critic adored had prepared for the contest won a prize.,D,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past
24,"The meal, which the chef who the critic adored had prepared for the contest, won a prize.",A,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past
24,The meal which the chef who the critic adored won a prize.,B,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past
24,"The meal, which the chef who the critic adored, won a prize.",C,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past
25,The mansion which the agent who the billionaire consulted had just recommended exploded.,A,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past ,past perfect,past
25,"The mansion, which the agent who the billionaire consulted had just recommended, exploded.",B,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past ,past perfect,past
25,The mansion which the agent who the billionaire consulted exploded.,C,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past ,past perfect,past
25,"The mansion, which the agent who the billionaire consulted, exploded.",D,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past ,past perfect,past
26,The nut which the squirrel which the student photographed buried for the winter grew into a tree.,B,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,which,past ,past,past
26,"The nut, which the squirrel which the student photographed buried for the winter, grew into a tree.",C,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,which,past ,past,past
26,The nut which the squirrel which the student photographed grew into a tree.,D,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,which,past ,past,past
26,"The nut, which the squirrel which the student photographed, grew into a tree.",A,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,which,past ,past,past
27,The ball which the baseball player who the commentator watched itently threw flew into the stands.,C,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,who,past ,past,past
27,"The ball, which the baseball player who the commentator watched itently threw, flew into the stands.",D,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,who,past ,past,past
27,The ball which the baseball player who the commentator watched itently flew into the stands.,A,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,who,past ,past,past
27,"The ball, which the baseball player who the commentator watched itently, flew into the stands.",B,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,who,past ,past,past
28,The evil crystal which the wizard who the knight had battled created for wicked purposes began to glow.,D,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past,past
28,"The evil crystal, which the wizard who the knight had battled created for wicked purposes, began to glow.",A,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past,past
28,The evil crystal which the wizard who the knight had battled began to glow.,B,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past,past
28,"The evil crystal, which the wizard who the knight had battled, began to glow.",C,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past,past
29,The beer which the barrister who the barista bribed brewed had brought the bar much acclaim.,A,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Ditransitive,Transitive,Transitive,which,who,past,past,past perfect
29,"The beer, which the barrister who the barista bribed brewed, had brought the bar much acclaim.",B,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Ditransitive,Transitive,Transitive,which,who,past,past,past perfect
29,The beer which the barrister who the barista bribed had brought the bar much acclaim.,C,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Ditransitive,Transitive,Transitive,which,who,past,past,past perfect
29,"The beer, which the barrister who the barista bribed, had brought the bar much acclaim.",D,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Ditransitive,Transitive,Transitive,which,who,past,past,past perfect
30,The screwdriver which the chimpanzee which the electrician brought to work chewed was not very tasty.,B,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Ditransitive,Copula,which,which,past,past,past
30,"The screwdriver, which the chimpanzee which the electrician brought to work chewed, was not very tasty.",C,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Ditransitive,Copula,which,which,past,past,past
30,The screwdriver which the chimpanzee which the electrician brought to work was not very tasty.,D,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Ditransitive,Copula,which,which,past,past,past
30,"The screwdriver, which the chimpanzee which the electrician brought to work, was not very tasty.",A,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Ditransitive,Copula,which,which,past,past,past
31,The gun which the killer who the police had recently arrested had used was buried under a tree.,C,exp,Base,0,1,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Unaccusative,which,who,past perfect,past perfect,past passive
31,"The gun which the killer, who the police had recently arrested, had used was buried under a tree.",D,exp,Comma,1,1,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Unaccusative,which,who,past perfect,past perfect,past passive
31,The gun which the killer who the police had recently arrested was buried under a tree.,A,exp,MissingVBase,0,0,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Unaccusative,which,who,past perfect,past perfect,past passive
31,"The gun which the killer, who the police had recently arrested, was buried under a tree.",B,exp,MissingVComma,1,0,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Unaccusative,which,who,past perfect,past perfect,past passive
32,The painting which the talented artist who the museum director had highly praised had created was stolen by a thief. ,D,exp,Base,0,1,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Unaccusative,which,who,past perfect,past perfect,past passive
32,"The painting which the talented artist, who the museum director had highly praised, had created was stolen by a thief. ",A,exp,Comma,1,1,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Unaccusative,which,who,past perfect,past perfect,past passive
32,The painting which the talented artist who the museum director had highly praised was stolen by a thief. ,B,exp,MissingVBase,0,0,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Unaccusative,which,who,past perfect,past perfect,past passive
32,"The painting which the talented artist, who the museum director had highly praised, was stolen by a thief. ",C,exp,MissingVComma,1,0,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Unaccusative,which,who,past perfect,past perfect,past passive
33,The fossil which the experienced archeologist who the president had awarded had discovered was proven to be dinosaur remains.,A,exp,Base,0,1,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Complex,which,who,past perfect,past perfect,past passive
33,"The fossil which the experienced archeologist, who the president had awarded, had discovered was proven to be dinosaur remains.",B,exp,Comma,1,1,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Complex,which,who,past perfect,past perfect,past passive
33,The fossil which the experienced archeologist who the president had awarded was proven to be dinosaur remains.,C,exp,MissingVBase,0,0,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Complex,which,who,past perfect,past perfect,past passive
33,"The fossil which the experienced archeologist, who the president had awarded, was proven to be dinosaur remains.",D,exp,MissingVComma,1,0,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Complex,which,who,past perfect,past perfect,past passive
34,The pyramid which the master builder who the pharaoh had appointed had designed remained a mystery to scholars for centuries.,B,exp,Base,0,1,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Complex,which,who,past perfect,past perfect,past
34,"The pyramid which the master builder, who the pharaoh had appointed, had designed remained a mystery to scholars for centuries.",C,exp,Comma,1,1,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Complex,which,who,past perfect,past perfect,past
34,The pyramid which the master builder who the pharaoh had appointed remained a mystery to scholars for centuries.,D,exp,MissingVBase,0,0,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Complex,which,who,past perfect,past perfect,past
34,"The pyramid which the master builder, who the pharaoh had appointed, remained a mystery to scholars for centuries.",A,exp,MissingVComma,1,0,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,Complex,which,who,past perfect,past perfect,past
35,The dessert which the baker who the gourmet had recommended had made was popular among customers.,C,exp,Base,0,1,Danni,inanimate,animate,animate,singular,singular,singular,transitive,transitive,transitive,which,who,past perfect,past perfect,past
